T,e,a,m,I,D
C,o,l,l,e,g,e,N,a,m,e,
T,e,a,m,N,a,m,e,
L,o,g,o,I,D
TENN,Tennessee,Tennessee Volunteers,2633
IDHO,Idaho,Idaho Vandals,70
WAG,Wagner,Wagner Seahawks,2681
FSU,Florida State,Florida State Seminoles,52
UNT,North Texas,North Texas Mean Green,249
UL,Louisiana,Louisiana Ragin' Cajuns,309
KENN,Kennesaw State,Kennesaw State Owls,338
SDSU,San Diego State,San Diego State Aztecs,21
RICE,Rice,Rice Owls,242
MRSH,Marshall,Marshall Thundering Herd,276
WISC,Wisconsin,Wisconsin Badgers,275
NICH,Nicholls,Nicholls Colonels,2447
JMU,James Madison,James Madison Dukes,256
ALST,Alabama State,Alabama State Hornets,2011
RMU,Robert Morris,Robert Morris Colonials,2523
IU,Indiana,Indiana Hoosiers,84
BYU,BYU,BYU Cougars,252
COLO,Colorado,Colorado Buffaloes,38
UTU,Utah Tech,Utah Tech Trailblazers,3101
WKU,Western Kentucky,Western Kentucky Hilltoppers,98
DEL,Delaware,Delaware Blue Hens,48
UGA,Georgia,Georgia Bulldogs,61
CLT,Charlotte,Charlotte 49ers,2429
ALCN,Alcorn State,Alcorn State Braves,2016
MER,Mercer,Mercer Bears,2382
BAY,Baylor,Baylor Bears,239
SHSU,Sam Houston,Sam Houston Bearkats,2534
UK,Kentucky,Kentucky Wildcats,96
BSU,Boise State,Boise State Broncos,68
AKR,Akron,Akron Zips,2006
SAM,Samford,Samford Bulldogs,2535
NAU,Northern Arizona,Northern Arizona Lumberjacks,2464
ARMY,Army,Army Black Knights,349
ELON,Elon,Elon Phoenix,2210
EIU,Eastern Illinois,Eastern Illinois Panthers,2197
MEM,Memphis,Memphis Tigers,235
ME,Maine,Maine Black Bears,311
ASU,Arizona State,Arizona State Sun Devils,9
UTSA,UTSA,UTSA Roadrunners,2636
TCU,TCU,TCU Horned Frogs,2628
TOW,Towson,Towson Tigers,119
ALA,Alabama,Alabama Crimson Tide,333
ACU,Abilene Christian,Abilene Christian Wildcats,2000
TXSO,Texas Southern,Texas Southern Tigers,2640
ARK,Arkansas,Arkansas Razorbacks,8
ARIZ,Arizona,Arizona Wildcats,12
STAN,Stanford,Stanford Cardinal,24
APSU,Austin Peay,Austin Peay Governors,2046
TNST,Tennessee State,Tennessee State Tigers,2634
CMU,Central Michigan,Central Michigan Chippewas,2117
TeamID,CollegeName,TeamName,LogoID
WCU,Western Carolina,Western Carolina Catamounts,2717
CHSO,Charleston Southern,Charleston Southern Buccaneers,2127
UNM,New Mexico,New Mexico Lobos,167
BALL,Ball State,Ball State Cardinals,2050
RUTG,Rutgers,Rutgers Scarlet Knights,164
GT,Georgia Tech,Georgia Tech Yellow Jackets,59
UTM,UT Martin,UT Martin Skyhawks,2630
RICH,Richmond,Richmond Spiders,257
LAF,Lafayette,Lafayette Leopards,322
GASO,Georgia Southern,Georgia Southern Eagles,290
OKST,Oklahoma State,Oklahoma State Cowboys,197
FOR,Fordham,Fordham Rams,2230
TULN,Tulane,Tulane Green Wave,2655
CARK,Central Arkansas,Central Arkansas Bears,2110
TEM,Temple,Temple Owls,218
VMI,VMI,VMI Keydets,2678
MIA,Miami,Miami Hurricanes,2390
NEB,Nebraska,Nebraska Cornhuskers,158
ORST,Oregon State,Oregon State Beavers,204
LOU,Louisville,Louisville Cardinals,97
OHIO,Ohio,Ohio Bobcats,195
MSST,Mississippi State,Mississippi State Bulldogs,344
UTEP,UTEP,UTEP Miners,2638
SEMO,Southeast Missouri State,Southeast Missouri State Redhawks,2546
WSU,Washington State,Washington State Cougars,265
DUKE,Duke,Duke Blue Devils,150
FRES,Fresno State,Fresno State Bulldogs,278
SOU,Southern,Southern Jaguars,2582
ODU,Old Dominion,Old Dominion Monarchs,295
MUR,Murray State,Murray State Racers,93
UNC,North Carolina,North Carolina Tar Heels,153
UCLA,UCLA,UCLA Bruins,26
GWEB,Gardner-Webb,Gardner-Webb Bulldogs,2241
MIZ,Missouri,Missouri Tigers,142
ND,Notre Dame,Notre Dame Fighting Irish,87
UNCO,Northern Colorado,Northern Colorado Bears,2458
TNTC,Tennessee Tech,Tennessee Tech Golden Eagles,2635
NCAT,North Carolina A&T,North Carolina A&T Aggies,2448
LIB,Liberty,Liberty Flames,2335
YSU,Youngstown State,Youngstown State Penguins,2754
UAB,UAB,UAB Blazers,5
APP,Appalachian State,Appalachian State Mountaineers,2026
CIN,Cincinnati,Cincinnati Bearcats,2132
TEX,Texas,Texas Longhorns,251
LT,Louisiana Tech,Louisiana Tech Bulldogs,2348
WOF,Wofford,Wofford Terriers,2747
WASH,Washington,Washington Huskies,264
TLSA,Tulsa,Tulsa Golden Hurricane,202
HBU,Houston Baptist,Houston Baptist Huskies,2277
IDST,Idaho State,Idaho State Bengals,304
CONN,UConn,UConn Huskies,41
MISS,Ole Miss,Ole Miss Rebels,145
VAN,Vanderbilt,Vanderbilt Commodores,238
MTSU,Middle Tennessee,Middle Tennessee Blue Raiders,2393
TXST,Texas State,Texas State Bobcats,326
ORE,Oregon,Oregon Ducks,2483
FIU,Florida International,Florida International Panthers,2229
UVA,Virginia,Virginia Cavaliers,258
OSU,Ohio State,Ohio State Buckeyes,194
SAC,Sacramento State,Sacramento State Hornets,16
HAW,Hawai'i,Hawai'i Rainbow Warriors,62
CIT,The Citadel,The Citadel Bulldogs,2643
MD,Maryland,Maryland Terrapins,120
TA&M,Texas A&M,Texas A&M Aggies,245
INST,Indiana State,Indiana State Sycamores,282
MINN,Minnesota,Minnesota Golden Gophers,135
NEV,Nevada,Nevada Wolf Pack,2440
USC,USC,USC Trojans,30
NCST,NC State,NC State Wolfpack,152
UTAH,Utah,Utah Utes,254
PITT,Pittsburgh,Pittsburgh Panthers,221
